date,gdp_1,gdp_2,gdp_3,gdp_4,gdp_5,gdp_6,gdp_7,gdp_8,gdp_9
1992-01-10,0.2,0.8,2.5,3.2,3.4,3.2,3.1,3,NaN
1992-02-10,0.5,2.2,3.1,3.3,3.3,3.2,3.1,2.9,NaN
1992-03-10,0.4,2.4,3.3,3.4,3.3,3.1,3,2.8,NaN
1992-04-10,1.2,2.5,3.1,3.2,3.2,3.1,3,2.9,NaN
1992-05-10,2.9,3.2,3.3,3.2,3.1,2.9,2.8,NaN,NaN
1992-06-10,2.8,3.1,3.3,3.2,3.2,3,2.8,NaN,NaN
1992-07-10,2.3,2.9,3.1,3.2,3.2,3,2.9,NaN,NaN
1992-08-10,2.6,2.9,3.1,3.1,3,2.9,NaN,NaN,NaN
1992-09-10,2.1,2.7,3.1,3.1,3,2.9,NaN,NaN,NaN
1992-10-10,1.8,2.3,2.9,3.1,3.1,3,NaN,NaN,NaN
1992-11-10,1.9,2.6,2.9,3,3,NaN,NaN,NaN,NaN
1992-12-10,2,2.7,2.9,3.1,3.1,NaN,NaN,NaN,NaN
1993-01-10,2.7,2.8,3,3.1,3.1,3.2,3.2,3.2,NaN
1993-02-10,2.8,3,3.3,3.3,3.3,3.2,3.2,3.1,NaN
1993-03-10,2.9,3,3.2,3.2,3.2,3.1,3,2.9,NaN
1993-04-10,2.9,2.9,3.2,3.2,3.2,3,2.9,2.8,NaN
1993-05-10,2.5,3.1,3.2,3.1,3,2.8,2.8,NaN,NaN
1993-06-10,2.4,3.1,3.1,3,3,2.8,2.7,NaN,NaN
1993-07-10,2.3,2.9,3.2,2.9,2.9,2.8,2.8,NaN,NaN
1993-08-10,3.1,3.3,2.9,2.8,2.7,2.6,NaN,NaN,NaN
1993-09-10,2.7,3,2.7,2.7,2.6,2.6,NaN,NaN,NaN
1993-10-10,2.6,3,2.7,2.6,2.6,2.6,NaN,NaN,NaN
1993-11-10,3.3,2.8,2.7,2.7,2.6,NaN,NaN,NaN,NaN
1993-12-10,3.8,2.8,2.7,2.7,2.7,NaN,NaN,NaN,NaN
1994-01-10,4.2,3,2.7,2.7,2.8,2.7,2.6,2.6,NaN
1994-02-10,3.1,2.8,2.9,2.9,2.7,2.6,2.6,2.6,NaN
1994-03-10,3.1,3,2.9,2.9,2.8,2.7,2.6,2.6,NaN
1994-04-10,3.3,3.2,2.9,2.9,3,2.7,2.7,2.6,NaN
1994-05-10,3.5,3,2.9,2.9,2.8,2.7,2.6,NaN,NaN
1994-06-10,3.5,3,2.8,2.8,2.8,2.6,2.6,NaN,NaN
1994-07-10,3.3,3,2.8,2.8,2.7,2.6,2.5,NaN,NaN
1994-08-10,2.4,2.7,2.7,2.7,2.6,2.6,NaN,NaN,NaN
1994-09-10,2.2,2.8,2.7,2.6,2.5,2.5,NaN,NaN,NaN
1994-10-10,2.3,2.9,2.6,2.6,2.5,2.4,NaN,NaN,NaN
1994-11-10,7,2.6,2.6,2.4,2.3,NaN,NaN,NaN,NaN
1994-12-10,3.3,2.8,2.5,2.4,2.3,NaN,NaN,NaN,NaN
1995-01-10,3.9,3,2.6,2.3,2.2,2,2.1,2.1,NaN
1995-02-10,2.8,2.5,2.3,2.2,2.1,2.2,2.2,2.3,NaN
1995-03-10,2.8,2.5,2.3,2.1,2,2,2.3,2.3,NaN
1995-04-10,2.7,2.4,2.3,2.2,2.1,2.2,2.3,2.4,NaN
1995-05-10,2.2,2.3,2.3,2.2,2.2,2.3,2.3,NaN,NaN
1995-06-10,1.5,2.2,2.5,2.3,2.3,2.4,2.3,NaN,NaN
1995-07-10,0.9,2,2.6,2.3,2.4,2.6,2.5,NaN,NaN
1995-08-10,2.1,2.7,2.5,2.5,2.5,2.5,NaN,NaN,NaN
1995-09-10,2,2.8,2.5,2.6,2.5,2.4,NaN,NaN,NaN
1995-10-10,2.2,2.7,2.5,2.6,2.6,2.5,NaN,NaN,NaN
1995-11-10,2.4,2.4,2.5,2.5,2.5,NaN,NaN,NaN,NaN
1995-12-10,2.3,2.4,2.5,2.5,2.5,NaN,NaN,NaN,NaN
1996-01-10,1.9,1.9,2.2,2.2,2.2,2.3,2.2,2.1,NaN
