date,nominalrate_1,nominalrate_2,nominalrate_3,nominalrate_4,nominalrate_5,nominalrate_6,nominalrate_7,nominalrate_8
1992-01-10,4.834242424,4,4,4.3,4.5,4.75,NaN,NaN
1992-02-10,3.9,3.8,4,4.25,4.5,NaN,NaN,NaN
1992-03-10,4,3.9,4,4.3,4.6,NaN,NaN,NaN
1992-04-10,4.052153846,4,4.1,4.3,4.6,5,NaN,NaN
1992-05-10,3.8,3.8,4,4.5,4.7,NaN,NaN,NaN
1992-06-10,3.8,3.8,4,4.3,4.7,NaN,NaN,NaN
1992-07-10,3.816923077,3.8,3.9,4.3,4.6,4.8,NaN,NaN
1992-08-10,3.3,3.3,3.5,3.9,4.3,NaN,NaN,NaN
1992-09-10,3.3,3.3,3.4,3.8,4,NaN,NaN,NaN
1992-10-10,3.308333333,3,3,3.3,3.6,3.95,NaN,NaN
1992-11-10,3,3,3.2,3.5,3.9,NaN,NaN,NaN
1992-12-10,3,3,3.2,3.5,3.8,NaN,NaN,NaN
1993-01-10,3.079242424,3,3.2,3.5,3.8,4,NaN,NaN
1993-02-10,3,3.1,3.4,3.65,4,NaN,NaN,NaN
1993-03-10,3,3,3.1,3.35,3.6,NaN,NaN,NaN
1993-04-10,3.08578125,3,3,3.3,3.5,3.8,NaN,NaN
1993-05-10,3,3,3.25,3.5,3.5,NaN,NaN,NaN
1993-06-10,3,3,3.2,3.5,3.55,NaN,NaN,NaN
1993-07-10,3.021384615,3,3.3,3.5,3.6,3.8,NaN,NaN
1993-08-10,3,3.2,3.4,3.6,3.8,NaN,NaN,NaN
1993-09-10,3,3,3.3,3.5,3.7,NaN,NaN,NaN
1993-10-10,3.089242424,3,3.1,3.3,3.5,3.6,NaN,NaN
1993-11-10,3,3,3.2,3.3,3.5,NaN,NaN,NaN
1993-12-10,3,3.05,3.2,3.35,3.5,NaN,NaN,NaN
1994-01-10,2.99,3,3.2,3.4,3.5,3.7,NaN,NaN
1994-02-10,3,3.2,3.4,3.5,3.8,NaN,NaN,NaN
1994-03-10,3.2,3.4,3.6,3.8,4,NaN,NaN,NaN
1994-04-10,3.2446875,3.5,3.8,4,4.2,4.3,NaN,NaN
1994-05-10,3.8,4.1,4.3,4.5,4.5,NaN,NaN,NaN
1994-06-10,4,4.3,4.5,4.8,5,NaN,NaN,NaN
1994-07-10,3.955076923,4.4,4.5,4.8,5,5,NaN,NaN
1994-08-10,4.4,4.8,4.8,5,5.3,NaN,NaN,NaN
1994-09-10,4.5,4.9,5.1,5.3,5.5,NaN,NaN,NaN
1994-10-10,4.508484848,5,5.3,5.5,5.8,5.8,NaN,NaN
1994-11-10,5,5.5,5.8,6,6.1,NaN,NaN,NaN
1994-12-10,5.2,5.8,6.2,6.3,6.3,NaN,NaN,NaN
1995-01-10,5.182615385,6,6.5,6.7,6.7,6.5,NaN,NaN
1995-02-10,5.9,6.5,6.5,6.5,6.5,NaN,NaN,NaN
1995-03-10,5.9,6.3,6.5,6.5,6.5,NaN,NaN,NaN
1995-04-10,5.819538462,6.15,6.5,6.5,6.4,6.2,NaN,NaN
1995-05-10,6,6.05,6.5,6.3,6,NaN,NaN,NaN
1995-06-10,6,6,6,6.05,6,NaN,NaN,NaN
1995-07-10,6.020615385,5.8,5.5,5.5,5.5,5.3,NaN,NaN
1995-08-10,5.8,5.5,5.5,5.3,5.3,NaN,NaN,NaN
1995-09-10,5.8,5.5,5.5,5.5,5.45,NaN,NaN,NaN
1995-10-10,5.811384615,5.6,5.5,5.5,5.5,5.5,NaN,NaN
1995-11-10,5.7,5.5,5.5,5.5,5.5,NaN,NaN,NaN
1995-12-10,5.7,5.5,5.3,5.3,5.25,NaN,NaN,NaN
1996-01-10,5.755076923,5.3,5.2,5,5,5,NaN,NaN
1996-02-10,5.3,5.1,5,5,5,NaN,NaN,NaN
1996-03-10,5.3,5,4.9,4.8,4.8,NaN,NaN,NaN
1996-04-10,5.385538462,5.3,5,5,4.95,4.9,NaN,NaN
1996-05-10,5.3,5.3,5.15,5,5,NaN,NaN,NaN
1996-06-10,5.3,5.3,5.3,5.05,5,NaN,NaN,NaN
1996-07-10,5.278153846,5.3,5.5,5.5,5.5,5.3,NaN,NaN
1996-08-10,5.4,5.5,5.6,5.5,5.5,NaN,NaN,NaN
1996-09-10,5.3,5.4,5.5,5.5,5.4,NaN,NaN,NaN
1996-10-10,5.337121212,5.4,5.5,5.5,5.4,5.3,NaN,NaN
1996-11-10,5.3,5.4,5.5,5.4,5.3,NaN,NaN,NaN
1996-12-10,5.3,5.3,5.3,5.3,5.3,NaN,NaN,NaN
1997-02-10,5.3,5.3,5.3,5.3,5.3,5.25,NaN,NaN
1997-03-10,5.3,5.3,5.3,5.3,5.3,5.3,NaN,NaN
1997-04-10,5.299375,5.5,5.7,5.8,5.7,5.5,5.5,NaN
1997-05-10,5.6,5.8,5.8,5.8,5.8,5.5,NaN,NaN
1997-06-10,5.5,5.8,5.8,5.8,5.5,5.5,NaN,NaN
1997-07-10,5.552615385,5.6,5.8,5.8,5.6,5.5,5.5,NaN
1997-08-10,5.5,5.6,5.8,5.7,5.5,5.5,NaN,NaN
1997-09-10,5.5,5.65,5.8,5.8,5.5,5.5,NaN,NaN
1997-10-10,5.56530303,5.55,5.8,5.75,5.55,5.5,5.5,NaN
1997-11-10,5.5,5.8,5.8,5.6,5.5,5.5,NaN,NaN
1997-12-10,5.5,5.5,5.5,5.5,5.5,5.5,NaN,NaN
1998-01-10,5.535151515,5.5,5.5,5.5,5.5,5.3,5.3,NaN
1998-02-10,5.5,5.5,5.5,5.5,5.3,5.3,NaN,NaN
1998-03-10,5.5,5.5,5.5,5.5,5.3,5.3,NaN,NaN
1998-04-10,5.5240625,5.5,5.5,5.5,5.35,5.3,5.3,NaN
1998-05-10,5.5,5.5,5.5,5.5,5.5,5.3,NaN,NaN
1998-06-10,5.5,5.5,5.5,5.5,5.5,5.3,NaN,NaN
1998-07-10,5.509692308,5.5,5.5,5.5,5.5,5.5,5.3,NaN
1998-08-10,5.5,5.5,5.5,5.5,5.45,5.3,NaN,NaN
1998-09-10,5.5,5.5,5.5,5.5,5.3,5.3,NaN,NaN
1998-10-10,5.55469697,5.4,5.1,5,5,5,5,NaN
1998-11-10,4.9,4.6,4.5,4.5,4.4,4.3,NaN,NaN
1998-12-10,4.9,4.6,4.5,4.3,4.3,4.3,NaN,NaN
1999-01-10,4.874393939,4.7,4.5,4.4,4.3,4.3,4.35,NaN
1999-02-10,4.8,4.7,4.5,4.5,4.45,4.5,NaN,NaN
1999-03-10,4.8,4.8,4.8,4.8,4.8,4.8,NaN,NaN
1999-04-10,4.75265625,4.8,4.8,4.8,4.8,4.75,4.75,NaN
1999-05-10,4.8,4.8,4.8,4.8,4.8,4.8,NaN,NaN
1999-06-10,4.8,4.8,4.8,4.8,4.8,5,NaN,NaN
1999-07-10,4.754769231,5,5.05,5,5,5,5,NaN
1999-08-10,5,5.25,5.3,5.1,5,5.1,NaN,NaN
1999-09-10,5.1,5.3,5.3,5.3,5.3,5.3,NaN,NaN
1999-10-10,5.117424242,5.3,5.3,5.3,5.4,5.3,5.3,NaN
1999-11-10,5.4,5.5,5.5,5.5,5.5,5.5,NaN,NaN
1999-12-10,5.4,5.5,5.5,5.7,5.65,5.5,NaN,NaN
2000-01-10,5.307727273,5.7,5.8,6,6,5.8,5.8,NaN
2000-02-10,5.7,6,6,6,6,6,NaN,NaN
2000-03-10,5.7,6.1,6.3,6.3,6.3,6.3,NaN,NaN
2000-04-10,5.728769231,6.1,6.4,6.5,6.4,6.3,6.3,NaN
2000-05-10,6.15,6.5,6.5,6.5,6.5,6.5,NaN,NaN
2000-06-10,6.3,6.8,7,6.95,6.8,6.7,NaN,NaN
2000-07-10,6.287230769,6.6,6.8,6.8,6.8,6.75,6.5,NaN
2000-08-10,6.5,6.8,6.8,6.8,6.5,6.5,NaN,NaN
2000-09-10,6.5,6.5,6.5,6.5,6.5,6.5,NaN,NaN
2000-10-10,6.519538462,6.5,6.5,6.5,6.5,6.5,6.5,NaN
2000-11-10,6.5,6.5,6.5,6.5,6.5,6.3,NaN,NaN
2000-12-10,6.5,6.5,6.5,6.3,6.3,6.05,NaN,NaN
2001-01-10,6.498923077,6.3,6,6,5.85,5.8,6,NaN
2001-02-10,5.7,5.36,5.25,5,5.065,5.25,NaN,NaN
2001-03-10,5.6,5,4.75,4.75,4.75,4.9,NaN,NaN
2001-04-10,5.612,4.72,4.5,4.5,4.5,4.5,4.666666667,NaN
2001-05-10,4.4,4,4,4,4.25,4.5,NaN,NaN
2001-06-10,4.3,3.75,3.75,3.75,3.95,4,NaN,NaN
2001-07-10,4.324769231,3.6,3.5,3.5,3.75,4,4.25,NaN
2001-08-10,3.6,3.5,3.5,3.51,4,4.25,NaN,NaN
2001-09-10,3.6,3.3,3.3,3.5,3.65,4,NaN,NaN
